lemma,family_rank,family_freq,forms
le,1,16853263,le la l' les
être,2,13506917,est suis était être es sont
je,3,11302227,je j' j
de,4,11038723,de d'
avoir,5,10169333,a ai as avez ont avoir
un,6,8987217,un une des uns unes
ce,7,7893293,c' ce cette ces cet
que,8,7603271,que qu'
pas,9,5833676,pas
ne,10,5665518,ne n' n
il,11,4970900,il ils
vous,12,4500162,vous
tu,13,4434920,tu
à,14,4119959,à
et,15,4110855,et
faire,16,2960590,fait faire fais faites font fera
en,17,2925411,en
aller,18,2884346,va vais allez aller vas allons
on,19,2756346,on
ça,20,2744024,ça ç'
me,21,2588010,me m'
pour,22,2475533,pour
te,23,2385592,t' te
mon,24,2244812,mon ma mes
pouvoir,25,1993924,peux peut pourrait pu puis pouvez
se,26,1905366,s' se
dire,27,1837956,dit dire dis dirait dites disais
tout,28,1774246,tout tous toutes touts
lui,29,1687873,elle elles eux
qui,30,1665879,qui
mais,31,1641141,mais
vouloir,32,1594153,veux veut voulais voulez voulait voudrais
savoir,33,1532195,sais savoir savez sait savais savait
dans,34,1508883,dans
nous,35,1504467,nous
son,36,1473005,son sa ses leur sons
bien,37,1443553,bien biens
si,38,1409401,si
du,39,1337227,du
y,40,1320695,y
non,41,1290498,non
avec,42,1256800,avec
plus,43,1214520,plus
voir,44,1132386,voir vu vois voyez voit voyons
ton,45,1113910,ton ta tes tons
au,46,1109359,au
moi,47,1048758,moi
oui,48,1001703,oui
devoir,49,983032,dois dû devrais devrait devez devoir
sur,50,944672,sur sure surs
quoi,51,894291,quoi
votre,52,888087,votre vos
comme,53,864987,comme
quelque,54,745873,quelque quelqu' quelques
bon,55,744127,bon bonne bonnes bons
venir,56,735842,viens venir vient venu venez viennent
ici,57,725494,ici
toi,58,707904,toi
est-ce,59,707256,est-ce
luire,60,691959,lui luis luit
pourquoi,61,657070,pourquoi
chose,62,653532,chose choses
où,63,643564,où
là,64,643024,là
rien,65,638217,rien riens
penser,66,617909,pense pensais penses pensé penser pensez
quand,67,598113,quand
autre,68,546441,autre autres
alors,69,542173,alors
parler,70,532538,parler parle parles parlez parlait parlais
comment,71,528569,comment
par,72,519463,par
notre,73,504275,notre nos
ou,74,497358,ou
aimer,75,485390,aime aimerais aimes aimer aimais aimez
merci,76,471631,merci mercis
juste,77,467241,juste justes
trouver,78,464646,trouvé trouver trouve trouves trouvez trouvée
très,79,462324,très
croire,80,455332,crois croire croyais croyez croit croient
prendre,81,440614,prendre prends prend prenez prendra prennent
jamais,82,436873,jamais
aussi,83,427827,aussi
même,84,426197,même mêmes
vraiment,85,423339,vraiment
oh,86,408070,oh
maintenant,87,402585,maintenant
falloir,88,396045,faut fallait faudra faudrait falloir fallu
deux,89,388269,deux
attendre,90,384872,attends attendez attendre attend attendais attendant
peu,91,354756,peu
temps,92,354330,temps
petit,93,352204,petit petite petits petites
quel,94,350209,quel quelle quelles quels
toujours,95,345760,toujours
encore,96,342386,encore
besoin,97,334595,besoin besoins
homme,98,334587,homme hommes
vie,99,326649,vie vies
sûr,100,324492,sûr sûre sûrs sûres
accord,101,316630,accord accords
personne,102,314109,personne personnes
regarder,103,307151,regarde regardez regarder regardé regardes regardais
peut-être,104,306785,peut-être
seul,105,300275,seul seule seuls seules
arriver,106,299811,arrive arriver arrivera arrivent arrivés arrives
femme,107,298987,femme femmes
fois,108,297685,fois
mort,109,297253,mort morte morts mortes
désolé,110,296562,désolé désolée désolés désolées
jour,111,288759,jour jours
appeler,112,282329,appelle appeler appelez appelles appelait appelée
donc,113,281973,donc
arrêter,114,281555,arrête arrêter arrêtez arrêtes arrêtée arrêtera
sans,115,281163,sans
tuer,116,280277,tuer tué tuée tués tuera tuerai
monde,117,277005,monde
vrai,118,275890,vrai vraie vrais vraies
parce,119,273723,parce
avant,120,272706,avant
fille,121,271960,fille filles
trop,122,265575,trop
an,123,262971,ans an
père,124,261503,père pères
essayer,125,261429,essaie essayé essayer essaye essayez essayais
nouveau,126,252813,nouveau nouvelle nouvelles nouveaux nouvel
dieu,127,251742,dieu dieux
après,128,250383,après
laisser,129,246576,laisser laissé laissez laisserai laisses laissée
aux,130,244896,aux
entrer,131,243974,entre entrer entrez entré entrés entrent
connaître,132,241935,connais connaissez connaître connaît connaissais connaissait
ouais,133,241407,ouais
ok,134,228115,ok
doit,135,227951,doit
m.,136,223793,m.
mal,137,222116,mal maux
partir,138,219169,partir pars partez partons parte partira
chez,139,218436,chez
ami,140,216587,ami amis
déjà,141,214718,déjà
depuis,142,214022,depuis
beaucoup,143,211787,beaucoup
grand,144,209771,grand grande grands grandes
mère,145,208153,mère mères
comprendre,146,207306,comprends comprendre comprenez comprend comprennent comprendra
aider,147,205912,aider aidé aidera aides aidez aiderait
mieux,148,205274,mieux
enfant,149,202288,enfants enfant
