frame,n,freq_books,rank,variants,type_token_ratio,top_fillers,auto_keep,keep,notes
de la *,3,87811433,1,168,0.000002,vie | ville | société | maison | même | loi | République | famille,no,,
de l' *,3,53788578,2,101,0.000002,autre | homme | État | eau | histoire | entreprise | article | enfant,no,,
la * de,3,44190267,3,93,0.000002,fin | mort | question | porte | notion | vie | salle | tête,no,,
le * de,3,38600778,4,85,0.000002,temps | nom | droit | cadre | point | nombre | long | cas,no,,
l' * de,3,31267778,5,68,0.000002,idée | histoire | un | absence | occasion | intérieur | ensemble | objet,no,,
à l' *,3,29934760,6,52,0.000002,intérieur | autre | heure | époque | égard | aide | origine | école,no,,
ne * pas,3,26297257,7,37,0.000001,sont | sais | suis | peut | peux | veux | faut | pouvait,no,,
à la *,3,24846150,8,42,0.000002,fois | fin | maison | main | suite | porte | recherche | vie,no,,
au * de,3,20347228,9,33,0.000002,cours | lieu | sein | milieu | bout | moment | fond | nom,no,,
d ' *,3,19225230,10,14,0.000001,un | une | autres | être | abord | avoir | ailleurs | autre,no,,
l ' *,3,18999795,11,47,0.000002,on | autre | homme | un | histoire | eau | air | article,no,,
en * de,3,17350119,12,27,0.000002,train | cas | matière | raison | fonction | dehors | face | fin,no,,
je ne *,3,17300425,13,21,0.000001,sais | suis | peux | veux | me | l' | pouvais | le,no,,
dans le *,3,16994934,14,32,0.000002,cadre | monde | cas | même | domaine | temps | sens | couloir,no,,
et de *,3,16704277,15,14,0.000001,la | l' | ses | son | sa | l | leur | leurs,no,,
il y *,3,15549938,16,6,0,a | avait | en | eut | aura | aurait,no,,
ce que *,3,14689716,17,10,0.000001,je | tu | vous | nous | l' | le | les | la,no,,
dans la *,3,14590134,18,28,0.000002,mesure | salle | vie | chambre | rue | maison | pièce | région,no,,
d' un *,3,13494003,19,29,0.000002,air | ton | coup | autre | homme | côté | geste | pas,no,,
que je *,3,12894134,20,19,0.000001,ne | suis | me | vous | vais | lui | l' | te,no,,
ce qui *,3,12125123,21,15,0.000001,est | se | concerne | lui | ne | a | était | me,no,,
et * la,3,11177651,22,7,0.000001,de | à | que | dans | sur | par | dont,no,,
il * a,3,11086848,23,4,0,y | l' | nous | en,no,,
d' une *,3,10966220,24,20,0.000002,voix | part | manière | autre | certaine | grande | façon | femme,no,,
à * de,3,10519107,25,13,0.000001,partir | cause | côté | propos | celle | celui | force | base,no,,
sur le *,3,10424084,26,23,0.000002,plan | sol | point | site | terrain | marché | dos | côté,no,,
un * de,3,9851159,27,22,0.000002,peu | coup | point | groupe | ensemble | signe | système | moyen,no,,
je ne * pas,4,9220172,28,16,0.000002,sais | suis | peux | veux | crois | voulais | comprends | vois,no,,
une * de,3,7722648,29,16,0.000002,sorte | partie | fois | série | forme | dizaine | espèce | vingtaine,no,,
l' * des,3,7289475,30,8,0.000001,un | une | ensemble | égard | histoire | évolution | analyse | étude,no,,
la * des,3,7217663,31,15,0.000002,plupart | fin | liste | majorité | part | gestion | vie | protection,no,,
que l' *,3,7105884,32,4,0.000001,on | homme | autre | un,no,,
il y a *,4,6676668,33,24,0.000004,des | un | une | eu | quelques | de | deux | aussi,no,,
les * de,3,6568985,34,19,0.000003,yeux | jours | conditions | membres | moyens | mains | règles | droits,no,,
et * l',3,6533923,35,5,0.000001,de | à | que | dans | je,no,,
que * ne,3,6448115,36,9,0.000001,je | tu | vous | nous | personne | ce | rien | cela,no,,
il est *,3,6348760,37,18,0.000003,vrai | possible | donc | à | en | le | important | difficile,no,,
